Maciej Bukowski 350762 28.12.2017 20:22:20


                    STATE OF GAS IN TECHNOLOGICAL PROCESS

DATE        |  TIME      |  TEMPERATURE [°C]  |  MASS [kg]  |  PRESSURE [hPa]
16.12.2017  |  23:22:30  |  29.400            |  25.1       |  4.506791      
16.12.2017  |  23:23:00  |  21.600            |  26.3       |  4.600511      
16.12.2017  |  23:23:30  |  21.700            |  25.2       |  4.409590      
16.12.2017  |  23:24:00  |  29.900            |  27.5       |  4.945879      
16.12.2017  |  23:24:30  |  25.800            |  25.3       |  4.488649      
16.12.2017  |  23:25:00  |  15.100            |  29.5       |  5.046472      
16.12.2017  |  23:25:30  |  23.600            |  25.7       |  4.526061      
16.12.2017  |  23:26:00  |  16.500            |  26.5       |  4.555289      
16.12.2017  |  23:26:30  |  27.500            |  26.7       |  4.763970      
16.12.2017  |  23:27:00  |  21.100            |  26.3       |  4.592707      
16.12.2017  |  23:27:30  |  23.300            |  29.6       |  5.207625      
16.12.2017  |  23:28:00  |  18.200            |  26.0       |  4.495572      
16.12.2017  |  23:28:30  |  15.400            |  28.2       |  4.829106      
16.12.2017  |  23:29:00  |  25.800            |  26.4       |  4.683807      
16.12.2017  |  23:29:30  |  28.500            |  27.5       |  4.923031      
16.12.2017  |  23:30:00  |  25.700            |  27.7       |  4.912805      
16.12.2017  |  23:30:30  |  24.000            |  27.8       |  4.902494      
16.12.2017  |  23:31:00  |  22.100            |  26.1       |  4.573271      
16.12.2017  |  23:31:30  |  22.700            |  27.8       |  4.881046      
16.12.2017  |  23:32:00  |  24.200            |  27.1       |  4.782266      
16.12.2017  |  23:32:30  |  29.300            |  25.4       |  4.559150      
16.12.2017  |  23:33:00  |  18.000            |  29.5       |  5.097243      
16.12.2017  |  23:33:30  |  22.500            |  28.8       |  5.053205      
16.12.2017  |  23:34:00  |  28.900            |  27.9       |  5.001262      
16.12.2017  |  23:34:30  |  25.200            |  26.1       |  4.621289      
16.12.2017  |  23:35:00  |  23.700            |  26.7       |  4.703757      
16.12.2017  |  23:35:30  |  23.600            |  27.6       |  4.860672      
16.12.2017  |  23:36:00  |  24.600            |  27.0       |  4.771029      
16.12.2017  |  23:36:30  |  20.100            |  28.4       |  4.942571      
16.12.2017  |  23:37:00  |  18.500            |  27.1       |  4.690594      
16.12.2017  |  23:37:30  |  17.700            |  28.9       |  4.988425      
16.12.2017  |  23:38:00  |  19.400            |  26.4       |  4.583535      
16.12.2017  |  23:38:30  |  27.700            |  28.8       |  5.142083      
16.12.2017  |  23:39:00  |  16.900            |  27.5       |  4.733715      
16.12.2017  |  23:39:30  |  17.000            |  29.5       |  5.079736      
16.12.2017  |  23:40:00  |  18.400            |  29.1       |  5.035036      
16.12.2017  |  23:40:30  |  21.800            |  26.8       |  4.691154      
16.12.2017  |  23:41:00  |  24.200            |  27.4       |  4.835207      
16.12.2017  |  23:41:30  |  29.600            |  28.8       |  5.174557      
16.12.2017  |  23:42:00  |  21.200            |  26.8       |  4.681612      
16.12.2017  |  23:42:30  |  21.000            |  25.3       |  4.416578      
16.12.2017  |  23:43:00  |  16.400            |  28.6       |  4.914577      
16.12.2017  |  23:43:30  |  28.300            |  29.4       |  5.259678      
16.12.2017  |  23:44:00  |  29.100            |  27.7       |  4.968698      
16.12.2017  |  23:44:30  |  17.200            |  26.8       |  4.617992      
16.12.2017  |  23:45:00  |  19.400            |  26.2       |  4.548811      
16.12.2017  |  23:45:30  |  19.100            |  29.0       |  5.029781      
16.12.2017  |  23:46:00  |  16.400            |  30.0       |  5.155151      
16.12.2017  |  23:46:30  |  19.100            |  25.5       |  4.422738      
16.12.2017  |  23:47:00  |  17.700            |  29.8       |  5.143774      
16.12.2017  |  23:47:30  |  29.100            |  27.1       |  4.861073      
16.12.2017  |  23:48:00  |  16.300            |  25.9       |  4.449076      
16.12.2017  |  23:48:30  |  29.500            |  29.3       |  5.262654      
16.12.2017  |  23:49:00  |  22.600            |  25.4       |  4.458153      
16.12.2017  |  23:49:30  |  29.000            |  28.0       |  5.020849      
16.12.2017  |  23:50:00  |  21.200            |  27.0       |  4.716549      
16.12.2017  |  23:50:30  |  17.400            |  28.0       |  4.828091      
16.12.2017  |  23:51:00  |  29.000            |  28.2       |  5.056712      
16.12.2017  |  23:51:30  |  29.300            |  29.2       |  5.241227      
16.12.2017  |  23:52:00  |  27.400            |  28.8       |  5.136955      
16.12.2017  |  23:52:30  |  19.200            |  27.4       |  4.753902      
16.12.2017  |  23:53:00  |  28.100            |  25.6       |  4.576817      
16.12.2017  |  23:53:30  |  21.500            |  25.2       |  4.406599      
16.12.2017  |  23:54:00  |  28.800            |  27.5       |  4.927927      
16.12.2017  |  23:54:30  |  24.500            |  28.1       |  4.963737      
16.12.2017  |  23:55:00  |  27.800            |  26.3       |  4.697282      
16.12.2017  |  23:55:30  |  18.500            |  27.4       |  4.742519      
16.12.2017  |  23:56:00  |  20.100            |  26.4       |  4.594502      
16.12.2017  |  23:56:30  |  21.100            |  25.5       |  4.453005      
16.12.2017  |  23:57:00  |  23.400            |  29.7       |  5.226981      
16.12.2017  |  23:57:30  |  29.400            |  29.1       |  5.225005      
16.12.2017  |  23:58:00  |  25.200            |  28.1       |  4.975410      
16.12.2017  |  23:58:30  |  19.300            |  25.8       |  4.477833      
16.12.2017  |  23:59:00  |  22.700            |  25.6       |  4.494776      
16.12.2017  |  23:59:30  |  28.500            |  26.5       |  4.744012      
17.12.2017  |  00:00:00  |  28.600            |  27.3       |  4.888847      
17.12.2017  |  00:00:30  |  25.900            |  26.6       |  4.720869      
17.12.2017  |  00:01:00  |  20.400            |  25.7       |  4.477254      
17.12.2017  |  00:01:30  |  23.600            |  25.2       |  4.438005      
17.12.2017  |  00:02:00  |  22.200            |  29.7       |  5.205830      
17.12.2017  |  00:02:30  |  27.500            |  29.2       |  5.210035      
17.12.2017  |  00:03:00  |  26.000            |  29.2       |  5.184041      
17.12.2017  |  00:03:30  |  29.500            |  27.4       |  4.921390      
17.12.2017  |  00:04:00  |  15.900            |  26.0       |  4.460082      
17.12.2017  |  00:04:30  |  27.500            |  25.8       |  4.603387      
17.12.2017  |  00:05:00  |  27.800            |  25.2       |  4.500818      
17.12.2017  |  00:05:30  |  19.500            |  29.5       |  5.123504      
17.12.2017  |  00:06:00  |  28.300            |  26.5       |  4.740866      
17.12.2017  |  00:06:30  |  18.800            |  27.6       |  4.782050      
17.12.2017  |  00:07:00  |  24.600            |  25.2       |  4.452961      
17.12.2017  |  00:07:30  |  22.500            |  25.7       |  4.509284      
17.12.2017  |  00:08:00  |  25.500            |  26.8       |  4.750003      
17.12.2017  |  00:08:30  |  24.400            |  28.5       |  5.032704      
17.12.2017  |  00:09:00  |  22.900            |  26.1       |  4.585663      
17.12.2017  |  00:09:30  |  19.000            |  26.5       |  4.594606      
17.12.2017  |  00:10:00  |  21.000            |  28.5       |  4.975197      
17.12.2017  |  00:10:30  |  28.700            |  29.4       |  5.266657      
17.12.2017  |  00:11:00  |  27.600            |  29.6       |  5.283162      
17.12.2017  |  00:11:30  |  26.100            |  29.2       |  5.185774      
17.12.2017  |  00:12:00  |  18.300            |  26.3       |  4.549004      
17.12.2017  |  00:12:30  |  22.000            |  28.2       |  4.939562      
17.12.2017  |  00:13:00  |  28.200            |  25.9       |  4.631989      
17.12.2017  |  00:13:30  |  27.600            |  27.2       |  4.854797      
17.12.2017  |  00:14:00  |  23.800            |  29.9       |  5.269277      
17.12.2017  |  00:14:30  |  25.400            |  25.3       |  4.482643      
17.12.2017  |  00:15:00  |  22.900            |  29.7       |  5.218168      
17.12.2017  |  00:15:30  |  18.000            |  26.5       |  4.578879      
17.12.2017  |  00:16:00  |  24.400            |  27.1       |  4.785483      
17.12.2017  |  00:16:30  |  19.200            |  29.8       |  5.170302      
17.12.2017  |  00:17:00  |  23.500            |  25.1       |  4.418904      
17.12.2017  |  00:17:30  |  26.000            |  27.2       |  4.828969      
17.12.2017  |  00:18:00  |  18.000            |  27.3       |  4.717110      
17.12.2017  |  00:18:30  |  16.500            |  26.5       |  4.555289      
17.12.2017  |  00:19:00  |  23.900            |  27.3       |  4.812699      
17.12.2017  |  00:19:30  |  27.300            |  25.1       |  4.475509      
17.12.2017  |  00:20:00  |  25.200            |  25.5       |  4.515052      
17.12.2017  |  00:20:30  |  25.400            |  28.0       |  4.961028      
17.12.2017  |  00:21:00  |  22.900            |  29.7       |  5.218168      
17.12.2017  |  00:21:30  |  17.100            |  25.0       |  4.306345      
17.12.2017  |  00:22:00  |  19.100            |  27.4       |  4.752276      
17.12.2017  |  00:22:30  |  21.000            |  28.1       |  4.905369      
17.12.2017  |  00:23:00  |  26.900            |  26.3       |  4.683235      
17.12.2017  |  00:23:30  |  16.300            |  29.0       |  4.981591      
17.12.2017  |  00:24:00  |  15.100            |  29.7       |  5.080685      
17.12.2017  |  00:24:30  |  17.100            |  25.0       |  4.306345      
17.12.2017  |  00:25:00  |  16.300            |  29.9       |  5.136192      
17.12.2017  |  00:25:30  |  27.800            |  25.2       |  4.500818      
17.12.2017  |  00:26:00  |  19.600            |  25.8       |  4.482426      
17.12.2017  |  00:26:30  |  26.400            |  26.4       |  4.693208      
17.12.2017  |  00:27:00  |  27.300            |  26.3       |  4.689478      
17.12.2017  |  00:27:30  |  17.000            |  27.5       |  4.735347      
17.12.2017  |  00:28:00  |  18.500            |  28.1       |  4.863678      
17.12.2017  |  00:28:30  |  15.500            |  28.8       |  4.933562      
17.12.2017  |  00:29:00  |  16.600            |  28.2       |  4.849189      
17.12.2017  |  00:29:30  |  21.100            |  26.1       |  4.557782      
17.12.2017  |  00:30:00  |  19.900            |  29.5       |  5.130507      
17.12.2017  |  00:30:30  |  19.900            |  28.1       |  4.887025      
17.12.2017  |  00:31:00  |  22.000            |  25.6       |  4.484141      
17.12.2017  |  00:31:30  |  28.500            |  28.0       |  5.012541      
17.12.2017  |  00:32:00  |  16.300            |  27.2       |  4.672389      
17.12.2017  |  00:32:30  |  27.400            |  26.2       |  4.673202      
17.12.2017  |  00:33:00  |  16.300            |  26.9       |  4.620855      
17.12.2017  |  00:33:30  |  17.500            |  28.6       |  4.933247      
17.12.2017  |  00:34:00  |  15.900            |  25.4       |  4.357157      
17.12.2017  |  00:34:30  |  21.200            |  27.4       |  4.786424      
17.12.2017  |  00:35:00  |  26.100            |  29.4       |  5.221293      
17.12.2017  |  00:35:30  |  18.700            |  29.1       |  5.040217      
17.12.2017  |  00:36:00  |  23.400            |  30.0       |  5.279779      
17.12.2017  |  00:36:30  |  17.800            |  26.2       |  4.523933      
17.12.2017  |  00:37:00  |  19.800            |  27.0       |  4.694116      
17.12.2017  |  00:37:30  |  22.500            |  28.8       |  5.053205      
17.12.2017  |  00:38:00  |  15.400            |  28.1       |  4.811981      
17.12.2017  |  00:38:30  |  23.600            |  30.0       |  5.283340      
17.12.2017  |  00:39:00  |  29.800            |  27.6       |  4.962226      
17.12.2017  |  00:39:30  |  15.900            |  28.8       |  4.940399      
17.12.2017  |  00:40:00  |  15.000            |  28.8       |  4.925016      
17.12.2017  |  00:40:30  |  16.400            |  28.0       |  4.811474      
17.12.2017  |  00:41:00  |  29.700            |  26.0       |  4.673018      
17.12.2017  |  00:41:30  |  28.000            |  26.0       |  4.646787      
17.12.2017  |  00:42:00  |  25.500            |  28.5       |  5.051309      
17.12.2017  |  00:42:30  |  26.200            |  25.5       |  4.530185      
17.12.2017  |  00:43:00  |  15.100            |  28.3       |  4.841192      
17.12.2017  |  00:43:30  |  21.000            |  27.6       |  4.818085      
17.12.2017  |  00:44:00  |  18.900            |  28.5       |  4.939678      
17.12.2017  |  00:44:30  |  29.900            |  29.0       |  5.215655      
17.12.2017  |  00:45:00  |  19.200            |  25.8       |  4.476302      
17.12.2017  |  00:45:30  |  29.300            |  26.4       |  4.738644      
17.12.2017  |  00:46:00  |  23.700            |  26.5       |  4.668523      
17.12.2017  |  00:46:30  |  20.900            |  26.2       |  4.572135      
17.12.2017  |  00:47:00  |  17.800            |  25.7       |  4.437599      
17.12.2017  |  00:47:30  |  24.300            |  26.7       |  4.713264      
17.12.2017  |  00:48:00  |  27.000            |  30.0       |  5.343873      
17.12.2017  |  00:48:30  |  28.200            |  27.9       |  4.989671      
17.12.2017  |  00:49:00  |  23.600            |  26.3       |  4.631728      
17.12.2017  |  00:49:30  |  27.100            |  25.7       |  4.579443      
17.12.2017  |  00:50:00  |  20.600            |  29.3       |  5.107896      
17.12.2017  |  00:50:30  |  24.000            |  29.5       |  5.202287      
17.12.2017  |  00:51:00  |  24.700            |  28.5       |  5.037778      
17.12.2017  |  00:51:30  |  22.200            |  25.9       |  4.539764      
17.12.2017  |  00:52:00  |  27.400            |  27.5       |  4.905079      
17.12.2017  |  00:52:30  |  21.800            |  28.2       |  4.936215      
17.12.2017  |  00:53:00  |  22.600            |  28.0       |  4.914500      
17.12.2017  |  00:53:30  |  29.100            |  27.5       |  4.932823      
17.12.2017  |  00:54:00  |  16.200            |  29.5       |  5.065730      
17.12.2017  |  00:54:30  |  18.200            |  26.6       |  4.599315      
17.12.2017  |  00:55:00  |  19.800            |  27.6       |  4.798430      
17.12.2017  |  00:55:30  |  19.400            |  27.1       |  4.705068      
17.12.2017  |  00:56:00  |  21.400            |  27.7       |  4.842118      
17.12.2017  |  00:56:30  |  18.800            |  25.9       |  4.487503      
17.12.2017  |  00:57:00  |  16.500            |  25.6       |  4.400581      
17.12.2017  |  00:57:30  |  22.300            |  26.4       |  4.628971      
17.12.2017  |  00:58:00  |  17.100            |  28.2       |  4.857557      
17.12.2017  |  00:58:30  |  29.400            |  25.5       |  4.578612      
17.12.2017  |  00:59:00  |  16.700            |  29.6       |  5.091685      
17.12.2017  |  00:59:30  |  15.400            |  27.1       |  4.640736      
17.12.2017  |  01:00:00  |  25.100            |  27.1       |  4.796741      
17.12.2017  |  01:00:30  |  26.100            |  27.9       |  4.954900      
17.12.2017  |  01:01:00  |  28.800            |  25.9       |  4.641211      
17.12.2017  |  01:01:30  |  19.400            |  26.0       |  4.514088      
17.12.2017  |  01:02:00  |  23.100            |  28.1       |  4.940390      
17.12.2017  |  01:02:30  |  24.000            |  29.0       |  5.114112      
17.12.2017  |  01:03:00  |  15.500            |  29.8       |  5.104866      
17.12.2017  |  01:03:30  |  21.800            |  25.9       |  4.533616      
17.12.2017  |  01:04:00  |  26.400            |  25.4       |  4.515435      
17.12.2017  |  01:04:30  |  21.800            |  29.8       |  5.216284      
17.12.2017  |  01:05:00  |  17.700            |  25.9       |  4.470595      
17.12.2017  |  01:05:30  |  16.000            |  27.0       |  4.633226      
17.12.2017  |  01:06:00  |  29.400            |  26.9       |  4.829987      
17.12.2017  |  01:06:30  |  29.800            |  27.7       |  4.980206      
17.12.2017  |  01:07:00  |  19.100            |  25.1       |  4.353362      
17.12.2017  |  01:07:30  |  18.800            |  29.5       |  5.111249      
17.12.2017  |  01:08:00  |  16.700            |  28.8       |  4.954072      
17.12.2017  |  01:08:30  |  17.200            |  29.4       |  5.066006      
17.12.2017  |  01:09:00  |  28.000            |  25.9       |  4.628915      
17.12.2017  |  01:09:30  |  22.500            |  25.6       |  4.491738      
17.12.2017  |  01:10:00  |  28.100            |  30.0       |  5.363458      
17.12.2017  |  01:10:30  |  19.200            |  28.6       |  4.962102      
17.12.2017  |  01:11:00  |  20.700            |  27.5       |  4.795732      
17.12.2017  |  01:11:30  |  17.100            |  28.6       |  4.926458      
17.12.2017  |  01:12:00  |  23.200            |  27.8       |  4.889295      
17.12.2017  |  01:12:30  |  28.200            |  29.8       |  5.329470      
17.12.2017  |  01:13:00  |  27.900            |  27.8       |  4.966838      
17.12.2017  |  01:13:30  |  20.600            |  26.4       |  4.602336      
17.12.2017  |  01:14:00  |  25.500            |  28.8       |  5.104480      
17.12.2017  |  01:14:30  |  29.800            |  27.7       |  4.980206      
17.12.2017  |  01:15:00  |  20.600            |  27.1       |  4.724368      
17.12.2017  |  01:15:30  |  15.100            |  26.4       |  4.516165      
17.12.2017  |  01:16:00  |  20.400            |  25.6       |  4.459833      
17.12.2017  |  01:16:30  |  17.400            |  27.1       |  4.672902      
17.12.2017  |  01:17:00  |  16.100            |  28.0       |  4.806489      
17.12.2017  |  01:17:30  |  25.700            |  25.5       |  4.522619      
17.12.2017  |  01:18:00  |  28.500            |  29.0       |  5.191560      
17.12.2017  |  01:18:30  |  17.100            |  28.4       |  4.892007      
17.12.2017  |  01:19:00  |  27.600            |  25.1       |  4.479978      
17.12.2017  |  01:19:30  |  15.400            |  26.4       |  4.520865      
17.12.2017  |  01:20:00  |  22.100            |  26.0       |  4.555749      
17.12.2017  |  01:20:30  |  16.100            |  29.0       |  4.978149      
17.12.2017  |  01:21:00  |  23.600            |  25.9       |  4.561283      
17.12.2017  |  01:21:30  |  28.200            |  28.7       |  5.132744      
17.12.2017  |  01:22:00  |  17.000            |  28.4       |  4.890322      
17.12.2017  |  01:22:30  |  21.200            |  29.7       |  5.188204      
17.12.2017  |  01:23:00  |  16.400            |  27.0       |  4.639636      
17.12.2017  |  01:23:30  |  27.000            |  26.3       |  4.684795      
17.12.2017  |  01:24:00  |  23.200            |  26.8       |  4.713421      
17.12.2017  |  01:24:30  |  21.100            |  27.7       |  4.837186      
17.12.2017  |  01:25:00  |  25.400            |  26.4       |  4.677540      
17.12.2017  |  01:25:30  |  26.000            |  29.8       |  5.290562      
17.12.2017  |  01:26:00  |  20.200            |  25.5       |  4.439385      
17.12.2017  |  01:26:30  |  18.400            |  29.1       |  5.035036      
17.12.2017  |  01:27:00  |  19.200            |  25.8       |  4.476302      
17.12.2017  |  01:27:30  |  22.000            |  25.3       |  4.431593      
17.12.2017  |  01:28:00  |  16.700            |  27.7       |  4.764854      
17.12.2017  |  01:28:30  |  26.200            |  28.0       |  4.974321      
17.12.2017  |  01:29:00  |  17.500            |  28.7       |  4.950497      
17.12.2017  |  01:29:30  |  25.700            |  28.3       |  5.019220      
17.12.2017  |  01:30:00  |  29.100            |  26.9       |  4.825198      
17.12.2017  |  01:30:30  |  28.400            |  25.8       |  4.617167      
17.12.2017  |  01:31:00  |  22.500            |  29.9       |  5.246209      
17.12.2017  |  01:31:30  |  27.200            |  27.9       |  4.973114      
17.12.2017  |  01:32:00  |  25.400            |  28.3       |  5.014182      
17.12.2017  |  01:32:30  |  24.900            |  25.7       |  4.545889      
17.12.2017  |  01:33:00  |  19.000            |  29.0       |  5.028060      
17.12.2017  |  01:33:30  |  15.200            |  27.9       |  4.774421      
17.12.2017  |  01:34:00  |  27.700            |  26.2       |  4.677867      
17.12.2017  |  01:34:30  |  26.000            |  28.9       |  5.130780      
17.12.2017  |  01:35:00  |  29.500            |  26.5       |  4.759738      
17.12.2017  |  01:35:30  |  21.700            |  26.7       |  4.672066      
17.12.2017  |  01:36:00  |  29.200            |  26.7       |  4.790907      
17.12.2017  |  01:36:30  |  26.400            |  25.3       |  4.497658      
17.12.2017  |  01:37:00  |  28.500            |  28.8       |  5.155756      
17.12.2017  |  01:37:30  |  25.000            |  29.5       |  5.219794      
17.12.2017  |  01:38:00  |  25.600            |  26.6       |  4.716134      
17.12.2017  |  01:38:30  |  18.000            |  25.5       |  4.406092      
17.12.2017  |  01:39:00  |  16.200            |  29.8       |  5.117246      
17.12.2017  |  01:39:30  |  28.000            |  25.2       |  4.503809      
17.12.2017  |  01:40:00  |  26.200            |  27.2       |  4.832198      
17.12.2017  |  01:40:30  |  28.000            |  28.3       |  5.057849      
17.12.2017  |  01:41:00  |  26.400            |  27.8       |  4.942090      
17.12.2017  |  01:41:30  |  25.200            |  29.3       |  5.187883      
17.12.2017  |  01:42:00  |  29.100            |  29.4       |  5.273636      
17.12.2017  |  01:42:30  |  15.200            |  28.8       |  4.928434      
17.12.2017  |  01:43:00  |  23.900            |  28.5       |  5.024247      
17.12.2017  |  01:43:30  |  24.400            |  26.8       |  4.732507      
17.12.2017  |  01:44:00  |  20.500            |  28.6       |  4.984167      
17.12.2017  |  01:44:30  |  16.900            |  26.7       |  4.596007      
17.12.2017  |  01:45:00  |  21.500            |  27.4       |  4.791302      
17.12.2017  |  01:45:30  |  17.700            |  26.9       |  4.643205      
17.12.2017  |  01:46:00  |  28.800            |  26.5       |  4.748730      
17.12.2017  |  01:46:30  |  19.100            |  26.1       |  4.526803      
17.12.2017  |  01:47:00  |  25.800            |  29.6       |  5.251542      
17.12.2017  |  01:47:30  |  21.700            |  27.1       |  4.742059      
17.12.2017  |  01:48:00  |  23.200            |  27.2       |  4.783771      
17.12.2017  |  01:48:30  |  16.800            |  25.4       |  4.370724      
17.12.2017  |  01:49:00  |  23.000            |  28.5       |  5.009024      
17.12.2017  |  01:49:30  |  22.500            |  28.7       |  5.035659      
17.12.2017  |  01:50:00  |  16.100            |  29.5       |  5.063979      
17.12.2017  |  01:50:30  |  23.700            |  27.3       |  4.809459      
17.12.2017  |  01:51:00  |  18.800            |  26.4       |  4.574135      
17.12.2017  |  01:51:30  |  19.800            |  27.4       |  4.763658      
17.12.2017  |  01:52:00  |  25.100            |  25.1       |  4.442738      
17.12.2017  |  01:52:30  |  15.300            |  25.9       |  4.433706      
17.12.2017  |  01:53:00  |  27.400            |  29.8       |  5.315321      
17.12.2017  |  01:53:30  |  20.200            |  25.4       |  4.421976      
17.12.2017  |  01:54:00  |  29.900            |  26.8       |  4.819984      
17.12.2017  |  01:54:30  |  17.800            |  27.6       |  4.765670      
17.12.2017  |  01:55:00  |  25.600            |  26.3       |  4.662944      
17.12.2017  |  01:55:30  |  25.300            |  27.8       |  4.923942      
17.12.2017  |  01:56:00  |  27.700            |  28.1       |  5.017101      
17.12.2017  |  01:56:30  |  25.200            |  29.3       |  5.187883      
17.12.2017  |  01:57:00  |  20.400            |  25.9       |  4.512097      
17.12.2017  |  01:57:30  |  28.500            |  25.9       |  4.636600      
17.12.2017  |  01:58:00  |  23.900            |  27.6       |  4.865586      
17.12.2017  |  01:58:30  |  16.400            |  25.8       |  4.433430      
17.12.2017  |  01:59:00  |  21.500            |  29.2       |  5.106059      
17.12.2017  |  01:59:30  |  22.400            |  25.2       |  4.420059      
17.12.2017  |  02:00:00  |  16.000            |  29.3       |  5.027908      
17.12.2017  |  02:00:30  |  26.600            |  29.2       |  5.194438      
17.12.2017  |  02:01:00  |  23.400            |  25.2       |  4.435014      
17.12.2017  |  02:01:30  |  29.100            |  29.8       |  5.345387      
17.12.2017  |  02:02:00  |  18.200            |  29.2       |  5.048873      
17.12.2017  |  02:02:30  |  17.900            |  27.6       |  4.767308      
17.12.2017  |  02:03:00  |  26.200            |  25.5       |  4.530185      
17.12.2017  |  02:03:30  |  20.700            |  26.6       |  4.638781      
17.12.2017  |  02:04:00  |  19.500            |  26.5       |  4.602470      
17.12.2017  |  02:04:30  |  29.100            |  25.2       |  4.520260      
17.12.2017  |  02:05:00  |  21.100            |  28.5       |  4.976888      
17.12.2017  |  02:05:30  |  29.500            |  25.9       |  4.651971      
17.12.2017  |  02:06:00  |  26.400            |  26.0       |  4.622099      
17.12.2017  |  02:06:30  |  20.700            |  28.2       |  4.917805      
17.12.2017  |  02:07:00  |  15.700            |  29.5       |  5.056976      
17.12.2017  |  02:07:30  |  26.500            |  27.0       |  4.801474      
17.12.2017  |  02:08:00  |  24.900            |  25.9       |  4.581265      
17.12.2017  |  02:08:30  |  28.200            |  25.6       |  4.578336      
17.12.2017  |  02:09:00  |  22.700            |  26.6       |  4.670353      
17.12.2017  |  02:09:30  |  20.300            |  25.1       |  4.371237      
17.12.2017  |  02:10:00  |  27.100            |  26.8       |  4.775451      
17.12.2017  |  02:10:30  |  25.400            |  26.2       |  4.642104      
17.12.2017  |  02:11:00  |  29.100            |  27.0       |  4.843135      
17.12.2017  |  02:11:30  |  29.800            |  27.9       |  5.016164      
17.12.2017  |  02:12:00  |  22.100            |  25.1       |  4.398050      
17.12.2017  |  02:12:30  |  22.200            |  25.9       |  4.539764      
17.12.2017  |  02:13:00  |  19.000            |  28.9       |  5.010722      
17.12.2017  |  02:13:30  |  21.600            |  28.8       |  5.037822      
17.12.2017  |  02:14:00  |  26.100            |  28.5       |  5.061457      
17.12.2017  |  02:14:30  |  21.300            |  26.0       |  4.543405      
17.12.2017  |  02:15:00  |  20.900            |  29.0       |  5.060760      
17.12.2017  |  02:15:30  |  21.300            |  25.0       |  4.368659      
17.12.2017  |  02:16:00  |  21.900            |  26.0       |  4.552663      
17.12.2017  |  02:16:30  |  29.500            |  26.6       |  4.777700      
